Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
308534;;00411324;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;;1PM5GFTS1532A050/10;10/02/2011 07:30:40;PCR Production;no SO;;itsa-ap-batch;25/06/2011;CH590044;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;24/06/2011;;;PCR Production;;*;Gasoline;;;;;
308532;;00411322;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;5VP0 / BLEU LINE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;;2PM5ZVTS1532A050/10;10/02/2011 13:55:50;PCR Production;no SO;;itsa-ap-batch;25/06/2011;CH590042;N0FZ / GRIS 4;RE01;PX06;JO01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;24/06/2011;;;PCR Production;;*;Gasoline;;;;;
308533;;00411323;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;;1PM5GFTS1532A050/10;10/02/2011 13:55:50;PCR Production;no SO;;itsa-ap-batch;25/06/2011;CH590043;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;24/06/2011;;;PCR Production;;*;Gasoline;;;;;
308535;;00411325;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;Q4M0 / VERT ACADIE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;;1PM5GFTS1532A050/10;10/02/2011 13:55:50;PCR Production;no SO;;itsa-ap-batch;25/06/2011;CH590045;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;24/06/2011;;;PCR Production;;*;Gasoline;;;;;
298331;;336495;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;9GP0 / GRIS HURRICANE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM012714;1PT7A5FCA532BK;06/07/2010 10:26:07;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC130023;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00328848;SOLD TO CLIENT;;;24/12/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Gasoline;;;;In Dealership;
298341;;336500;308 T7;308 SKD 5D Premium 1.6 AT (120hp) e5;Hatchback 5 Doors;P9M5 / ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM011474;1PT7A5NCAL32BK;06/07/2010 10:26:07;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC129147;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00328849;SOLD TO CLIENT;;;08/10/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Gasoline;;;;In Dealership;
50147978;;316969;Партнер B9;Partner B9  VP2 Confort Pack 16E 90 hp / 13;Minivan;T6M0 /  BLEU KYANOS;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCAJ871360;1PB9AFGFJ532A0;06/10/2010 15:56:01;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC137562;YNFM / AMARANTE;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00321093;SOLD TO CLIENT;;Bank Guarantee (BG);21/01/2011;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50162388;;336196;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM011152;1PT7A5QCAL32BK;06/07/2010 15:56:01;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC126618;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00325475;SOLD TO CLIENT;;Bank Guarantee (BG);26/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
291898;;00406083;Партнер M5;Partner Origin long VU 800 TOLE 1.6E (Carsan) / 2PM55DT6S532;FRG. EMP.LONG H1 12;WPP0 / BLANC BANQUISE;TU5JP4  1587CC  110HP  E (  Gasoline);MANUAL 5-SPEED;;2PM55DT6S532FC50/10;14/01/2011 14:25:59;PCR Production;no SO;;itsa-ap-batch;25/05/2011;CH585039;N0FZ / GRIS 4;RE01;PX06;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;24/06/2011;;;PCR Production;;*;Gasoline;;;;;
291899;;00406084;Партнер M5;Partner Origin long VU 800 TOLE 1.6E (Carsan) / 2PM55DT6S532;FRG. EMP.LONG H1 12;WPP0 / BLANC BANQUISE;TU5JP4  1587CC  110HP  E (  Gasoline);MANUAL 5-SPEED;;2PM55DT6S532FC50/10;14/01/2011 14:25:58;PCR Production;no SO;;itsa-ap-batch;25/05/2011;CH585040;N0FZ / GRIS 4;RE01;PX06;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;;13/05/2011;;;PCR Production;;*;Gasoline;;;;;
50162383;;336191;308 T7;308 SKD 5D Premium 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM016298;1PT7A5NCAL32BK;08/10/2010 12:26:17;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC138249;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00325472;SOLD TO CLIENT;;Bank Guarantee (BG);17/12/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
301524;;337539;4007 MP;4007 SKD Active 2.4 4*4 CVT/1PMPSUMRMH00BK;S.U.V.;H4P0 / BLANC ANTARTIQUE;2.4L MMC (  Gasoline);4 X 4 TRANSMSS CONTI;Z8TVUSFZFBM940368;1PMPSUMRMH00BK;24/08/2010 12:26:17;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC132965;XAFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00327224;SOLD TO CLIENT;;;28/01/2011;3710-ООО "Леонар Авто";;SO (fixed);;2011;Gasoline;;;;In Dealership;
50150297;;320742;3008 TB;3008 PR 16E BA6 / C0;CROSS OVER 5 PORTES;K1M0 / BRUN HICKORY;EP6CDT 1598 4 CYL E (  Gasoline);AUTOMATIC 6-SPEED;VF30U5FVAAS336940;1PTBSYHCCM329Q;02/11/2010 11:55:57;Final Customer Order;SOLD TO CLIENT;D737659;itsa-ap-batch;;RC139635;2YFX / NOIR;OK01;ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00324855;SOLD TO CLIENT;3710_7503394013;Bank Guarantee (BG);07/01/2011;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;In Dealership;
50149371;;319442;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A070 / 10;FRG. EMP.LONG H2 16;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YCBMFC11914398;2PU95KHDG609A070 / 10;26/10/2010 11:55:57;Final Customer Order;SOLD TO CLIENT;D737659;itsa-ap-batch;;RC138866;VMFZ / GRIS 4;JO01;PR01;AT14;FX01;LL02;NA03;PE03;PX05;RE07;SE08;UF01;VF07;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00326111;SOLD TO CLIENT;3710_3703888519;Bank Guarantee (BG);14/01/2011;3710-ООО "Леонар Авто";;Final Customer Order;SO-FCO in production;2010;Diesel;;;;In Dealership;
50163438;;337658;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM016266;1PT7A5QCAL32BK;06/10/2010 11:55:57;Final Customer Order;SOLD TO CLIENT;D737653;itsa-ap-batch;;RC136992;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00327241;SOLD TO CLIENT;3710_7450789963;Bank Guarantee (BG);10/12/2010;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;In Dealership;
50136452;;300190;207 A7;207 5D 200 ENVY 1.4 2-TRONIC (90hp) (Freemix);Hatchback 5 Doors;WPP0 / BLANC BANQUISE;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;VF3WCKFUCAT088226;1PA7A5L1ZP32JT;08/07/2010 11:55:57;Final Customer Order;SOLD TO CLIENT;D737659;itsa-ap-batch;;RC130960;GRIS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00314614;SOLD TO CLIENT;3710_7500357951;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO (Cancellable);2010;Gasoline;;;;In Dealership;
50135364;;299079;308 T7;308 SKD 5D Premium Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM011889;1PT7A5QCA532BK;07/07/2010 11:55:57;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129304;TTFQ / CRIOLLO;UF01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2011;;;3710;F-00308972;SOLD TO CLIENT;;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50148011;;317016;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;P9M5 / ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM016397;1PT7A5FCA532BK;06/10/2010 12:25:46;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC137554;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2011;;;3710;F-00320243;SOLD TO CLIENT;;Bank Guarantee (BG);17/12/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50152387;;322921;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCAX517089;1PM5GFTS1532A050/10;28/07/2010 16:25:56;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;21/11/2010;CH564621;VHFZ / NOIR;JO01;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;11/02/2011;;;3710;F-00318675;SOLD TO CLIENT;;Bank Guarantee (BG);10/12/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50136563;;300305;207 A7;207 5D 200 ENVY 1.4 MT (75hp) (Freemix);Hatchback 5 Doors;XLM0 / NOIR OBSIDIEN;TU3AE5 1360 4 CYL ES (  Gasoline);MANUAL 5-SPEED;VF3WCKFT0AW099889;1PA7A5LS3532JT;08/07/2010 19:55:50;Final Customer Order;SOLD TO CLIENT;D737659;itsa-ap-batch;;RC130979;GRIS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/02/2011;;;3710;F-00316223;SOLD TO CLIENT;3710_7503951159;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO (Cancellable);2010;Gasoline;;;;In Dealership;
50162381;;336189;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM015492;1PT7A5FCAL32BK;07/09/2010 16:25:49;SO (fixed);SOLD TO DEALER;D737659;itsa-ap-batch;;RC134987;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00325470;Dealer;;Bank Guarantee (BG);03/12/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
