Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
297743;;336345;Партнер B9;Partner B9  VP2 Confort Pack 16 HDi 90 hp  / 13;*;WPP0 / BLANC BANQUISE;DV6ATED4 1600    HDI (  Diesel);MANUAL 5-SPEED;;1PB9AFG3N532A0;26/01/2011 12:22:00;SO Cancelled;CANCELLED;;itsa-ap-batch;;;YNFM / AMARANTE;NA01;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;;;;;3710-ООО "Леонар Авто";;SO Cancelled;SO (fixed);2010;Diesel;;;;;
50165360;;340854;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX504594;1PM5GFTS1532A050/10;14/12/2010 08:56:20;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580338;VHFZ / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);22/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50158596;;331734;107 B0;107 5D TRENDY 1.0 2-TRONIC / E5;Hatchback 5 Doors;D8P0 / JAUNE CITRUS;998 MOTEUR TOYOTA ES (  Gasoline);2-TRONIC 5-SPEED;VF3PNCFB088555627;1PB0A5KRBP04A0;27/12/2010 08:56:17;Final Customer Order;SO Pending;D737659;itsa-ap-batch;;RC146247;3AFZ / GRIS 4;RE01;WL45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;3710_7510732603;Bank Guarantee (BG);18/03/2011;3710-ООО "Леонар Авто";;Final Customer Order;SO-FCO in production;2011;Gasoline;;;;;
50165854;;341639;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX504375;2PM5ZVTS1532A050/10;14/12/2010 08:56:16;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580341;N0FZ / GRIS 4;JO01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50165855;;341640;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX504376;2PM5ZVTS1532A050/10;14/12/2010 08:56:16;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580342;N0FZ / GRIS 4;JO01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168370;;344747;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A070 / 10;FRG. EMP.LONG H2 16;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YCBMFC11964384;2PU95KHDG609A070 / 10;31/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/04/2011;RC149669;VMFZ / GRIS 4;RK04;FX01;PX05;SE08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);08/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO Request;2011;Diesel;;;;;
50168372;;344749;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX505785;1PM5GFTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585033;VHFZ / NOIR;PC13;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168373;;344750;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX505662;2PM5ZVTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585038;N0FZ / GRIS 4;RE01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168940;;345498;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX506145;1PM5GFTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585032;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant Departure;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50167874;;344033;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;5VP0 / BLEU LINE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX505456;1PM5GFTS1532A050/10;14/01/2011 07:31:03;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585034;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50167875;;344034;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX505323;2PM5ZVTS1532A050/10;14/01/2011 07:31:03;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585037;N0FZ / GRIS 4;RE01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50166263;;342181;Партнер M5;Partner Origin long VU 800 TOLE 1.6E (Carsan) / 2PM55DT6S532;FRG. EMP.LONG H1 12;WPP0 / BLANC BANQUISE;TU5JP4  1587CC  110HP  E (  Gasoline);MANUAL 5-SPEED;VF3GANFUCBX504395;2PM55DT6S532FC50/10;14/12/2010 07:30:58;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580343;N0FZ / GRIS 4;PX06;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50164261;;338722;Партнер B9;Partner B9  FRG court 16E 90 hp / 13;FOURGON;WPP0 / BLANC BANQUISE;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37ANFRCBJ590734;2PB9J0CFJ532A0;07/02/2011 07:30:49;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC153561;YLFZ / GRIS 4;PC19;PX26;RE01;GB23 / TAPIS COFFRE PVC;LK07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50164262;;338723;Партнер B9;Partner B9  VP1 Confort 16E 90 hp / 13;Minivan;WPP0 / BLANC BANQUISE;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCBJ587560;1PB9AFCFJ532A0;07/02/2011 07:30:49;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC150196;YMFZ / GRIS 4;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50164265;;338726;Партнер B9;Partner B9  VP2 Confort Pack 16 HDi 90 hp  / 13;Minivan;9QM0 /  MOONDUST;DV6ATED4 1600    HDI (  Diesel);MANUAL 5-SPEED;VF37J9HXCBJ596289;1PB9AFG3N532A0;07/02/2011 07:30:49;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC150197;YNFM / AMARANTE;PQ02;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Diesel;;;;;
50164267;;338728;Партнер B9;Partner B9  VP2 Confort Pack 16E 90 hp / 13;Minivan;J4M0 / SABLE BIVOUAC;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCBJ579122;1PB9AFGFJ532A0;07/02/2011 07:30:49;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC150198;YNFM / AMARANTE;NA01;RE07;RG03;UB01;WLLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port;;Bank Guarantee (BG);22/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50163671;;338102;3008 TB;3008  Confort Pack 16E122 / C0;CROSS OVER 5 PORTES;N9M6 / BLANC NACRE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0BS099039;1PTBSYDCA5329Q;07/02/2011 07:30:46;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC149724;TQFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);08/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50163674;;338105;3008 TB;3008  Confort Pack 16E122 / C0;CROSS OVER 5 PORTES;P9M5 / ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0BS099038;1PTBSYDCA5329Q;07/02/2011 07:30:46;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC149725;TQFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);08/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50163679;;338110;3008 TB;3008 Premium 16E122 / C0;CROSS OVER 5 PORTES;9PM0 / GRIS SHARK;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0BS082691;1PTBSYHCA5329Q;07/02/2011 07:30:45;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC149730;2YFX / NOIR;RG03;VD09;ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);25/03/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50160288;;333502;Партнер B9;Partner B9  VP1 Confort 16E 90 hp / 13;Minivan;WPP0 / BLANC BANQUISE;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCBJ562954;1PB9AFCFJ532A0;30/12/2010 07:30:41;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC146910;YMFZ / GRIS 4;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50160364;;333577;Партнер B9;Partner B9  FRG long 16 HDi 90 hp / 13;FRG. EMP.LONG H1 8;WPP0 / BLANC BANQUISE;1560 HDI DV6AUTED4 (  Diesel);MANUAL 5-SPEED;VF37E9HXCBJ580655;2PB95BC3Y532A0;30/12/2010 07:30:40;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC148422;YLFZ / GRIS 4;PX26;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Diesel;;;;;
50157974;;330868;Боксер;FgTI 440 L4H3(120hp) / 2PU97PHDG609UL70 / 10;FOURGON TOLE;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11955593;2PU97PHDG609UL70 / 10;21/12/2010 07:30:38;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC145873;RYFY / GRIS 3;RK04;FX01;HC08;PE03;PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);25/03/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Diesel;;;;;
50157976;;330870;Боксер;FgVt Combi 330 L1H1(100hp) / 2PU91RHDE509CA70 / 10;FRG.VIT EMP.COURT H1;ZWM0 / GRIS FER;2188 HDI P.22DTE (  Diesel);MANUAL 5-SPEED;VF3YAAMRA11957470;2PU91RHDE509CA70 / 10;21/12/2010 07:30:38;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;;RC146126;VMFZ / GRIS 4;PR01;RK04;FX01;PC13;PE03;RC36;RE01;VF07;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);15/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Diesel;;;;;
50161078;;334287;3008 TB;3008 PR 16E BA6 / C0;CROSS OVER 5 PORTES;9VM0 / NOIR PERLA NERA;EP6CDT 1598 4 CYL E (  Gasoline);AUTOMATIC 6-SPEED;VF30U5FNABS073681;1PTBSYHCCM329Q;30/12/2010 14:26:01;SO (fixed);SO Blocked;D737659;itsa-ap-batch;;RC148636;2YFX / NOIR;LE05;OK01;ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2011;Gasoline;;;;;
298329;;336494;308 T7;308 SKD SPORTIUM 5D Premium 1.6 AT (120 hp);Hatchback 5 Doors;P9M5 / ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM016412;1PT7A5NCAL32JU;02/11/2010 08:56:20;SO (fixed);SOLD TO DEALER;;itsa-ap-batch;;RC140317;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334625;Dealer;;;17/12/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Gasoline;;;;In Dealership;
50169274;;346114;207 A7;207 3D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A3L1ZP32A070/10;Hatchback 3 Doors;9PM0 / GRIS SHARK;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;VF3WAKFUCAT078179;1PA7A3L1ZP32A070/10;09/07/2010 17:26:05;Final Customer Order;SO Blocked;D737659;itsa-ap-batch;;RC132382;4DFX / NOIR;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;3710_7502844598;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;;
50154791;;326789;3008 TB;3008  Confort Pack 16E122 / C0;CROSS OVER 5 PORTES;N9M6 / BLANC NACRE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0BS054466;1PTBSYDCA5329Q;06/12/2010 14:26:12;SO (fixed);SOLD TO DEALER;D737659;itsa-ap-batch;;RC143555;TQFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00331415;Dealer;;Bank Guarantee (BG);04/03/2011;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2011;Gasoline;;;;In Dealership;
50166229;;342119;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;T8M0 / BLEU IPANEMA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM010506;1PT7A5FCAL32BK;08/06/2010 14:26:10;SO (fixed);Consigned;D737653;itsa-ap-batch;;RC124185;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Dealer;;Consignment (CN);08/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;;
50160359;;333572;Партнер B9;Partner B9  FRG long 16 HDi 90 hp / 13;FRG. EMP.LONG H1 8;ZWM0 / GRIS FER;1560 HDI DV6AUTED4 (  Diesel);MANUAL 5-SPEED;VF37F9HXCBJ560204;2PB95BC3Y532A0;30/12/2010 12:56:06;Final Customer Order;SO Blocked;D737659;itsa-ap-batch;;RC148421;YMFZ / GRIS 4;PX26;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;SPb;3710_7505489132;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2011;Diesel;;;;;
50161099;;334308;3008 TB;3008 PR 16E BA6 / C0;CROSS OVER 5 PORTES;N9M6 / BLANC NACRE;EP6CDT 1598 4 CYL E (  Gasoline);AUTOMATIC 6-SPEED;VF30U5FNABS073707;1PTBSYHCCM329Q;30/12/2010 12:56:06;Final Customer Order;SO Blocked;D737659;itsa-ap-batch;;RC148637;2YFX / NOIR;LE05;ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;3710_7502897960;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2011;Gasoline;;;;;
50169232;;345964;Боксер;FgTl 335 L3H3(120hp) / 2PU95NHDG609A070 / 10;FOURGON TOLE;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YCBMFC11968594;2PU95NHDG609A070 / 10;31/01/2011 11:56:14;SO in production;SO Pending;D737659;itsa-ap-batch;25/04/2011;RC149668;VMFZ / GRIS 4;RK04;FX01;PE03;PX05;SE08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 5);;Bank Guarantee (BG);15/04/2011;3710-ООО "Леонар Авто";;SO in production;SO Request;2011;Diesel;;;;;
319207;;345844;Боксер;FgTI 440 L4H2(120hp)/Irit22_base+el/11;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11924431;2PU97MHDG6099V;23/11/2010 10:56:07;Final Customer Order;SO Blocked;;itsa-ap-batch;;RC141939;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;3710_7500963852;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2011;Diesel;;;;;
319209;;345845;Боксер;FgTI 440 L4H2(120hp)/Irit22_base+el/11;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11924295;2PU97MHDG6099V;23/11/2010 10:56:07;Final Customer Order;SO Blocked;;itsa-ap-batch;;RC141940;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;3710_7436789654;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2011;Diesel;;;;;
319211;;345846;Боксер;FgTI 440 L4H2(120hp)/Irit22_base+el/11;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11925531;2PU97MHDG6099V;23/11/2010 10:56:07;Final Customer Order;SO Blocked;;itsa-ap-batch;;RC141941;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Moscow;3710_7436123654;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2011;Diesel;;;;;
297739;;336343;Боксер;FgVt Combi 333 L2H2(120hp) / 2PU93VHDG609CA70 / 10;FRG.VIT EMP.MOYEN H2;ZWM0 / GRIS FER;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YBBMRB11920743;2PU93VHDG609CA70 / 10;26/10/2010 10:26:23;Final Customer Order;SOLD TO CLIENT;;itsa-ap-batch;;RC138937;VMFZ / GRIS 4;PR01;RK04;AN03;FX01;PE03;;;;;;;;;;;;;;;;;;;;;;;;;;23/03/2011;;;3710;F-00333973;SOLD TO CLIENT;3710_7820875489;Bank Guarantee (BG);04/02/2011;3710-ООО "Леонар Авто";;Final Customer Order;SO (Cancellable);2011;Diesel;;;;In Dealership;
50160367;;333580;Партнер B9;Partner B9  FRG long 16 HDi 90 hp / 13;FRG. EMP.LONG H1 8;WPP0 / BLANC BANQUISE;1560 HDI DV6AUTED4 (  Diesel);MANUAL 5-SPEED;VF37F9HXCBJ560208;2PB95BC3Y532A0;30/12/2010 08:56:18;SO (fixed);Sold to dealer;D737659;itsa-ap-batch;;RC148423;YMFZ / GRIS 4;PX26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334515;SPb;;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2011;Diesel;;;;;
297733;;336340;3008 TB;3008  Confort Pack 16E122 / C0;CROSS OVER 5 PORTES;N9M6 / BLANC NACRE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0BS027146;1PTBSYDCA5329Q;06/12/2010 08:56:18;SO (fixed);SOLD TO DEALER;;itsa-ap-batch;;RC143554;TQFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334381;Dealer;;;11/02/2011;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2011;Gasoline;;;;In Dealership;
318457;;345632;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCAX516818;1PM5GFTS1532A050/10;21/07/2010 08:56:17;Final Customer Order;Sold to dealer;;itsa-ap-batch;;CH563927;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334454;Moscow;3710_7500963852;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;;
318459;;345633;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCAX516838;1PM5GFTS1532A050/10;21/07/2010 08:56:17;Final Customer Order;Sold to dealer;;itsa-ap-batch;;CH563929;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334455;Moscow;3710_7500963852;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;;
318455;;345631;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCAX516775;1PM5GFTS1532A050/10;21/07/2010 08:56:16;Final Customer Order;Sold to dealer;;itsa-ap-batch;;CH563933;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334447;Moscow;3710_7500963852;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;;
50166222;;342112;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;9PM0 / GRIS SHARK;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM014048;1PT7A5FCAL32BK;09/07/2010 08:56:16;Final Customer Order;Sold to dealer;D737653;itsa-ap-batch;;RC132296;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334403;Moscow;3710_7123321856;Consignment (CN);In Stock;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;;
50160294;;333508;Партнер B9;Partner B9  VP2 Confort Pack 16 HDi 90 hp  / 13;Minivan;ZWM0 / GRIS FER;DV6ATED4 1600    HDI (  Diesel);MANUAL 5-SPEED;VF37J9HXCBJ552601;1PB9AFG3N532A0;30/12/2010 08:56:15;SO (fixed);Sold to dealer;D737659;itsa-ap-batch;;RC146907;YNFM / AMARANTE;PQ02;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00334429;SPb;;Bank Guarantee (BG);In Stock;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2011;Diesel;;;;;
50165960;;341801;Боксер;FgTI 333 L2H1(120hp) / 2PU93EHDG609A070 / 10;FRG. EMP.MOYEN H1 14;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;;2PU93EHDG609A070 / 10;01/03/2011 07:30:47;SO in production;SO Pending;D737659;itsa-ap-batch;;RC153947;RYFY / GRIS 3;JO01;RK04;FX01;PE03;PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant (SIV 4);;Bank Guarantee (BG);13/05/2011;3710-ООО "Леонар Авто";;SO in production;;*;Diesel;;;;;
